address,price,num_units,url,gross_income,municipal_tax,school_tax,scraped_at
,1695000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-mercier-hochelaga-maisonneuve/10549025,96540.0,10019.0,1192.0,2026-02-17 18:02
,1200000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-lasalle/20299238,57840.0,5340.0,675.0,2026-02-17 18:02
,1810000.0,7,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-mercier-hochelaga-maisonneuve/22182082,114240.0,7845.0,683.0,2026-02-17 18:02
,1550000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/20043552,74916.0,9441.0,1180.0,2026-02-17 18:02
,695000.0,5,https://www.centris.ca/fr/quadruplex~a-vendre~montreal-mercier-hochelaga-maisonneuve/20237599,31200.0,3791.0,434.0,2026-02-17 18:02
,1450000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/26228105,89760.0,8635.0,1085.0,2026-02-17 18:02
,1950000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-villeray-saint-michel-parc-extension/20134317,117900.0,7958.0,998.0,2026-02-17 18:02
,1314999.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-lasalle/22942652,67380.0,6766.0,843.0,2026-02-17 18:02
,1849000.0,8,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-verdun-ile-des-soeurs/21190077,84120.0,12350.0,1513.0,2026-02-17 18:02
,1670000.0,4,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-rosemont-la-petite-patrie/16698868,119367.0,11214.0,646.0,2026-02-17 18:02
,1460000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-villeray-saint-michel-parc-extension/13435777,72516.0,6869.0,808.0,2026-02-17 18:02
,1189000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/28967635,74616.0,6730.0,835.0,2026-02-17 18:02
,1840000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-rosemont-la-petite-patrie/26401589,74088.0,7287.0,857.0,2026-02-17 18:02
,1550000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-verdun-ile-des-soeurs/18461164,102840.0,8082.0,993.0,2026-02-17 18:02
,1700000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-rosemont-la-petite-patrie/22103818,95592.0,9022.0,1147.0,2026-02-17 18:02
,1108000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-riviere-des-prairies-pointe-aux-trembles/9986172,65520.0,6262.0,712.0,2026-02-17 18:02
,1498000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-ville-marie/22633438,87720.0,6742.0,864.0,2026-02-17 18:02
,1869000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-saint-leonard/13103689,81000.0,9029.0,1058.0,2026-02-17 18:02
,1299000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-mercier-hochelaga-maisonneuve/24265974,67116.0,7527.0,905.0,2026-02-17 18:02
